inventory_year,survey_unit,country,plot_number,tree_number,diametr,height,log_height,log_diametr
2022,3,25,796,11,13.9,48.0,3.871201010907891,2.631888840136646
2022,3,25,1121,3,6.3,48.0,3.871201010907891,1.840549633397487
2022,3,25,1121,4,12.9,74.0,4.30406509320417,2.5572273113676265
2022,3,25,1121,6,13.4,74.0,4.30406509320417,2.5952547069568657
2022,3,25,1121,7,11.0,69.0,4.23410650459726,2.3978952727983707
2022,3,25,1121,8,9.1,50.0,3.912023005428146,2.2082744135228043
2022,3,25,1121,11,7.2,54.0,3.9889840465642745,1.9740810260220096
2022,3,25,1121,15,3.9,30.0,3.4011973816621555,1.3609765531356006
2022,3,25,1121,31,5.4,36.0,3.58351893845611,1.6863989535702288
2022,3,25,1121,34,1.7,14.0,2.6390573296152584,0.5306282510621704
2022,3,25,3322,1,6.9,52.0,3.9512437185814275,1.9315214116032138
2022,3,25,3322,2,3.9,25.0,3.2188758248682006,1.3609765531356006
2022,3,25,3322,3,2.0,12.0,2.4849066497880004,0.6931471805599453
2022,3,25,3322,4,9.5,58.0,4.060443010546419,2.2512917986064953
2022,3,25,3322,5,15.9,75.0,4.31748811353631,2.766319109226186
2022,3,25,3322,7,6.7,44.0,3.784189633918261,1.9021075263969205
2022,3,25,3322,9,9.2,35.0,3.5553480614894135,2.2192034840549946
2022,3,25,3322,11,7.8,37.0,3.6109179126442243,2.0541237336955462
2022,3,25,3322,12,7.5,51.0,3.9318256327243257,2.0149030205422647
2022,3,25,3322,13,8.0,51.0,3.9318256327243257,2.0794415416798357
2022,3,25,3322,14,7.9,54.0,3.9889840465642745,2.066862759472976
2022,3,25,3322,16,8.7,47.0,3.8501476017100584,2.163323025660538
2022,3,25,3322,19,9.9,50.0,3.912023005428146,2.2925347571405443
2022,3,25,3322,21,9.4,56.0,4.02535169073515,2.2407096892759584
2022,3,25,3322,22,5.0,35.0,3.5553480614894135,1.6094379124341003
2022,3,25,3322,26,10.8,57.0,4.04305126783455,2.379546134130174
2022,3,25,3322,27,7.1,52.0,3.9512437185814275,1.9600947840472698
2022,3,25,3322,28,8.2,52.0,3.9512437185814275,2.1041341542702074
2022,3,25,3322,30,7.1,45.0,3.8066624897703196,1.9600947840472698
2022,3,25,3337,1,3.4,16.0,2.772588722239781,1.2237754316221157
2022,3,25,3337,3,17.0,75.0,4.31748811353631,2.833213344056216
2022,3,27,749,13,2.4,14.0,2.6390573296152584,0.8754687373538999
2022,3,27,812,3,11.1,73.0,4.290459441148391,2.4069451083182885
2022,3,27,812,21,11.1,73.0,4.290459441148391,2.4069451083182885
2022,3,27,1064,4,2.3,13.0,2.5649493574615367,0.8329091229351039
2022,3,27,1064,6,6.3,30.0,3.4011973816621555,1.840549633397487
2022,3,27,1064,7,6.2,31.0,3.4339872044851463,1.824549292051046
2022,3,27,1064,8,13.1,68.0,4.219507705176107,2.5726122302071057
2022,3,27,1064,11,5.4,23.0,3.1354942159291497,1.6863989535702288
2022,3,27,1064,12,12.3,63.0,4.143134726391533,2.509599262378372
2022,3,27,1064,13,8.3,45.0,3.8066624897703196,2.1162555148025524
2022,3,27,1064,16,11.0,45.0,3.8066624897703196,2.3978952727983707
2022,3,27,1064,19,1.2,10.0,2.302585092994046,0.1823215567939546
2022,3,27,1064,22,3.6,25.0,3.2188758248682006,1.2809338454620642
2022,3,27,1064,25,2.1,14.0,2.6390573296152584,0.7419373447293773
2022,3,27,1473,1,7.7,52.0,3.9512437185814275,2.0412203288596382
2022,3,27,1473,2,7.9,50.0,3.912023005428146,2.066862759472976
